,coursetext
4397,"OCS 4090 Marine and Environmental Microbiology (3)
Also offered as BIOL 4090. Prereq.: BIOL 2051 or equivalent. Characterization and ecology of estuarine, open-ocean and terrestrial microorganisms and the role these microbes play in cycling organic and inorganic compounds; microbial activity in biogeochemical cycles extreme environments and organic pollutants; indicator species; pathogenic bacteria and their transmission in the environment and seafood-related contamination."
4398,"OCS 4126 Chemical Oceanography (3)
See GEOL 4081."
4399,"OCS 4128 Wetland Hydrology and Hydrodynamics (3)
Prereq.: MATH 1550, MATH 1552, GEOL 1001 or equivalent. Basic surface water and ground water hydrology in wetland environments with an emphasis on hydrologic principles, application of hydrologic techniques to wetlands and understanding of hydrodynamics in these ecosystems."
4400,"OCS 4165 Environmental Chemistry of Wetlands (3)
Prereq.: CHEM 2060 or equivalent. Transformations of pollutants and toxic substances that affect the solubility, bioavailability, fixation and degradation of organic and inorganic substances in wetlands; emphasis on biological and physiochemical properties of wetlands that enhance this degradation and fixation."
4401,"OCS 4170 Physical Oceanography (3)
Prereq.: two semester course in Physics and MATH 1552 or MATH 1554; or consent of instructor. Physics of the ocean; with emphasis on dynamical problems; general circulation of the ocean; physical properties of sea water; flow dynamics in the earth’s rotating coordinate system, estuarine and coastal ocean dynamics."
4402,"OCS 4210 Geological Oceanography (3)
Prereq.: two-semester introductory course in geology. Principles of marine geology; sediments and sedimentation in the marine environment from the near shore zone to the abyssal plain; geological effects of bottom currents; sea-level history; geophysical techniques; continental drift and sea-floor spreading; tectonic history of the oceanic crust."
4403,"OCS 4242 Wetlands and Water Quality (3)
An integrative view of wetland ecosystems with an emphasis on eutrophication and water quality."
4404,"OCS 4268 Environmental and Natural Resources Policy (3)
See ENVS 4268 ."
4405,"OCS 4308 Plants in Coastal Environments (3)
Also offered as BIOL 4308. Prereq.: one-semester course in biology or ecology or consent of instructor. Weekend field trips as needed. Ecology of Louisiana’s major coastal plant communities; emphasis on influence of environmental factors controlling plant distribution and productivity; physiological, morphological and anatomical mechanisms aiding plant survival; man’s impact on Louisiana’s coastal plant communities."
4406,"OCS 4372 Estuarine Ecology (4)
Prereq.: graduate standing or consent of instructor. Preparation of field trips; synthesis and presentation of data collected on field trips to coastal areas. 3 hrs. lecture; 2 hrs. lab. Ecological processes in estuaries, shallow coastal waters and associated coastal environments; training and field use of equipment required for estuarine research."
4407,"OCS 4410 Ecosystem Modeling and Analysis (3)
Prereq.: MATH 1552 and consent of instructor. Mathematical description and analysis of ecological systems; emphasis on systems approach using matter and energy flow models for quantifying and analyzing interdependence and dynamics in ecosystems; linear flow models, dynamic nonlinear models, optimization models, stochastic models and computer techniques for modeling, validation, sensitivity analysis and parameter optimization."
4408,"OCS 4465 Coastal Zone Management (3)
Non-law students encouraged to participate. Written and oral presentation required; special projects relating to the primary field of interest permitted. Resources allocation and environmental quality issues in coastal and estuarine zones of the U.S.; evaluating alternative solutions to topical coastal zone issues; preparing legal devices for meeting the issues, such as legislation, regulations, contract provisions and deed restrictions; traditional law courses in water law, environ-mental law, natural-resources law and land-use planning."
4409,"OCS 4550 Biological Oceanography (3)
Prereq.: two-course undergraduate science sequence above 2000 level or graduate student status in science department. Participation in oceanographic cruise is generally required. Biology of open oceans, continental shelves and large river deltas."
4410,"OCS 4560 Wetland Loss, Restoration and Management (3)
Prereq.: Permission of instructor; two-course sequence in science above the 2000 level. Participation in field trips to local wetlands and management agencies is required. Coastal wetland loss, restoration and management; wetland values, use and potential management issues."
4411,"OCS 4565 Restoration Ecology/Ecological Restoration (3)
Prereq.: permission of instructor. Field trips. Students are responsible for paying some expenses for field work. 2 hrs. lecture; 1 hr. lab. The science of restoration ecology and the practice of ecological restoration."
4412,"OCS 4570 Coral Reef Ecology: Past, Present & Future (3)
Prereq.: BIOL 1201 and BIOL 1202 (or equivalent). Introduction to the complexity, sensitivity, and dynamism of the ‘rainforests of the sea’: coral reef ecosystems. Exploration of coral reefs through time, including biotic and abiotic interactions, factors contributing to reef construction and decline in time and space, the influence of symbioses on reef health and function, and threats and challenges to coral reefs in an uncertain future."
4413,"OCS 4600 Global Environmental Change: Past, Present and Future (3)
Also offered as ENVS 4600. Patterns and processes of global climate changes during the Quaternary and their links to the biosphere, cryosphere and ocean; proxies and archives; climate forcing and biotic responses; current warming and future impacts; human ecology of climate change; energy supply and human health; sustainability and policy."
4414,"OCS 4999 Capstone in Coastal Environmental Science (1)
See ENVS 4999."
4415,"OCS 7001 Advanced Topics in Marine Sciences (1-3)
Prereq.: Permission of department. May be taken for a max. of 15 sem. hrs. when topics vary."
4416,"OCS 7016 Modeling the Marine Atmosphere (3)
Use of atmospheric models for analyzing and predicting coastal weather phenomena, including extreme weather events and climate change."
4417,"OCS 7028 Numerical Modeling of Ocean Circulation (3)
Fundamental concepts in computational fluid dynamics; finite difference and finite volume numerical methods; review of state-of-the-art ocean models and their applications to coastal oceans, estuaries, and marine environment."
4418,"OCS 7029 Case Studies in Coastal Ecosystem Modeling (3)
Coastal ecosystem modeling in the northern Gulf of Mexico region. Modeling theory; case studies; overview of existing ecosystem models."
4419,"OCS 7110 Toxicology of Aquatic Environments (3)
See ENVS 7110."
4420,"OCS 7112 Concepts in Marine Ecotoxicology (3)
Prereq.: ENVS 7110. See ENVS 7112."
4421,"OCS 7120 Dynamical Oceanography (3)
Prereq.: consent of instructor. Dynamics of rotating, stratified, incompressible fluids with particular application to the oceans; conservations equations and boundary conditions, surface and internal gravity waves, vorticity, geostrophic adjustment, coastal trapped waves, Rossby waves, wind-driven ocean circulation."
4422,"OCS 7121 Ecology and Management of Tropical Estuaries (3)
Offered in Su Prereq.: 6 hrs. in marine ecology and consent of instructor. Two-week field trip/lecture at the Centro de Investigaciones y Estudios Avancados in Merida, Mexico. 20 hrs. per week. Intensive field course concerning aspects of ecology and management of tropical estuaries; plankton systems, sea grasses, mangroves, benthos, nekton and macroalgae; emphasis on human impact and management, global change issues and use of modeling."
4423,"OCS 7122 Gravity Waves in Shallow Water (3)
Prereq.: MATH 1550, MATH 1552. Linear and nonlinear theories of water gravity waves considered by classical mathematical derivation and numerical methods; wave transformation in shallow water; characteristics of boundary layer under wave action; wave-related phenomena in near shore zone."
4424,"OCS 7123 Oceanographic Data Analysis (3,3)
Prereq.: MATH 1550 or equivalent. Statistical techniques for analysis of oceanographic time and space series data; spectrum analysis; objective analysis; empirical orthogonal functions and Kalman filters."
4425,"OCS 7124 Applied Coastal Plant Ecology (3)
Prereq.: 6 sem. hrs. in biology or environmental science. Field trips included. Students are responsible for paying for travel expenses associated with the course. Concepts of applied coastal plant ecology; field experiences in coastal habitat restoration and management; applied wetlands’ functions, wetland classification, evaluation and delineation, and environmental assessment monitoring."
4426,"OCS 7125 Estuarine Dynamics (3)
Prereq.: consent of instructor. Wind-driven and mass-driven currents in estuaries, turbulence and mixing in estuaries, seiches, storm surges, internal waves, salt balance and inlet flows."
4427,"OCS 7129 Global Climate Change and Wetlands (3)
Prereq.: consent of instructor. Impact of projected global climate change on stability and functioning of coastal and interior wetland ecosystems; feedback of biogeochemical changes in wetlands caused by climate change."
4428,"OCS 7130 Marine Isotope Biogeochemistry (3)
Prereq.: graduate standing or consent of instructor. Concepts and laboratory principles for stable and radioactive isotopes, first-hand experience interpreting isotopic data, modern applications in oceanography and biogeochemistry."
4429,"OCS 7131 Marine Geochemistry (3)
Geochemical processes in the marine environment, including water column geochemistry, pore water processes and interactions across the sediment-water interface and early diagenesis; emphasis uranium-thorium decay series radionuclide applications in marine geochemistry."
4430,"OCS 7132 Coastal Physical/Chemical Systems: Analytical Methods (3)
Prereq.: consent of instructor. 2 hrs. lecture; 3 hrs. lab. Sampling techniques; proper handling and preservation of samples; sample processing for analysis; application of spectroscopy and chromatography analytical instrumentation for the determination on nutrients, trace and toxic metals, synthetic organics (pesticides and industrial organics), and petroleum hydrocarbons in water, soil and sediment samples; techniques presented in terms of application of analytical chemistry to environmental and natural systems."
4431,"OCS 7165 Biogeochemistry of Wetland Soils and Sediments (3)
Same as AGRO 7165. Microbial and redox chemistry processes in fresh water, brackish water and estuarine-flooded soils and sediments affecting the trans-formations of nutrients and toxic materials."
4432,"OCS 7170 Satellite Oceanography (3)
Prereq.: OCS 4170 or equivalent. Oceanographic measurements and observations using satellite-borne sensor systems; radiation-ocean-atmosphere interactions, satellite systems, sensor design and data types; analysis of infrared, visible and microwave data for deep ocean, coastal and estuarine phenomena."
4433,"OCS 7175 Environmental Optics (3)
Nature of light, solar radiation and its transmission through the atmosphere and the aquatic medium and interactions in the medium; optical instrumentation and applications."
4434,"OCS 7310 Harmful Algal Blooms (3)
Harmful algal species and associated syndromes; ecophysiological processes for bloom initiation and development; eutrophication; grazing impact; impacts on marine life and human health; identification, enumeration of algae and toxin detection techniques; HAB management."
4435,"OCS 7313 Marine Science Data Analysis in R (3)
Principles of data management, data analysis, and data visualization as commonly conducted in the fields of marine science, biology, and ecology. Application of program R for data tasks, though no previous R experience is required."
4436,"OCS 7317 Marine Ecology (3)
See BIOL 7120."
4437,"OCS 7330 Preparing for Studies of Fish and Other Aquatic Resources (3)
A detailed, semi-quantitative introduction to current biological and technological methodologies for studying fishes and aquatic habitats, with emphasis on reducing bias introduced by study design and choice of sampling gears."
4438,"OCS 7335 Marine Fisheries Recruitment (3)
Examining the relationship between fish life history, recruitment dynamics and harvest potential, and local-, meso-, and global-scale oceanographic processes."
4439,"OCS 7340 Population Dynamics Modeling (3)
Broad survey of the quantitative modeling methods used for simulating animal and plant population dynamics; use of these models in both theoretical analyses and management decision-making."
4440,"OCS 7413 Bayesian Hierarchical Models in Ecology (3)
Practical overview of both Bayesian methods and hierarchical models, and their application of ecological data sets. Some experience with program R is recommended."
4441,"OCS 7431 Stock Assessment Analysis of Marine Fish Populations (3)
Prereq.: OCS 7340. Quantitative methods used in management of fish populations through analytical approaches used to model populations and statistically estimate the status of the resources used in management decision-making."
4442,"OCS 7432 Marine Fisheries Policy and Management (3)
Policies used in managing marine fisheries in the U.S. and internationally with emphasis on scientific role. Survey and analysis of domestic and international legislation and treaties."
4443,"OCS 7800 Introduction to Supervised Teaching in Oceanography & Coastal Sciences (1-3)
Prereq.: Permission of department. Weekly consultation between student-teacher and supervising mentor during preparation and delivery of lectures in introductory-level courses."
4444,"OCS 8000 Thesis Research (1-12 per sem.)
“S”/”U”grading."
4445,"OCS 8900 Advanced Reading and Literature Research (1-6)
May be taken for a max. of 6 sem. hrs. of credit."
4446,"OCS 8901 Advanced Field Research (1-6)
May be taken for a max. of 6 sem. hrs. of credit."
4447,"OCS 9000 Dissertation Research (1-12 per sem.)
“S”/”U”grading."
4448,"PADM 4000 Special Topics in Public Administration (3)
Prereq.: Permission of instructor. May be repeated for a max. 6 sem. hrs. of credit when topics vary. Topics relevant to the study and practice of public administration such as public performance management, public management reform, diversity management and developing topics in public administration research."
4449,"PADM 5009 Data Analytics for Public Administration I (3)
Introduces students to the development of a research question and the procedures of using empirical observations and data, describing the practical and technical issues of sampling, surveying, measurement, research design, analysis, and preparation of research reports."
4450,"PADM 5010 Data Analytics for Public Administration II (3)
Prereq.: PADM 5009. Open only to students in the MPA program. Descriptive measures for populations and samples; basic probability theory; distributions of discrete and continuous random variables; hypothesis testing and estimation for means, variances, and proportions; measures of association; regression analysis; index numbers; applications in public administration and policy evaluation."
4451,"PADM 5600 Microeconomic Theory for Policy Analysis (3)
Also offered as ECON 5600. Open only to students in the MPA program or by consent of instructor. Concepts and analytical tools of microeconomics; their relevance for decision and policy making in public and nonprofit sectors; theories of demand, production, cost, market structures and distribution; analysis of economic problems and policies, efficiency criteria, social impacts and limitations of the market system."
4452,"PADM 7009 Introduction to Data Analytics for Public Administration (3)
Statistics and data analysis for public administration and public policy; topics include descriptive statistics; data visualization; probability theory; distributions of discrete and continuous random variables; hypothesis testing; measures of association; regression analysis. "
4453,"PADM 7010 Applied Data Analytics for Public Administration (3)
Prereq.: PADM 7009. Approaches to evaluating the implementation and impact of public programs and policies; topics include program theory and logic models; developing indicators to monitor programs; research designs to assess program effects; collection and analysis of evaluation data; cost-effectiveness and cost-benefit analysis."
4454,"PADM 7610 Healthcare Organization and Finance (3)
Overview of effective management of healthcare organizations, including understanding of their historical development and future opportunities; current issues relating to financing, regulation, reimbursement, managed care systems and system integration."
4455,"PADM 7620 Strategic Management of Healthcare Organizations (3)
Prereq.: Cross-listed with MGT 7620. Strategic planning and development of healthcare organizations focusing on long-term viability; integration of financial decisions with organizational goals and consumer health."
4456,"PADM 7640 Legal and Ethical Issues in Health Care Management (3)
Legal and ethical issues in the delivery of health care including patients’ rights, organizational responsibilities, malpractice issues, relationships among patient, providers and insurers, governmental influence in health care management, patient-provider relationships, advancing technology and medical alternatives, working with limited resources and organizational efforts to deal with ethical issues."
4457,"PADM 7800 Independent Study in Public Administration (3)
Prereq.: at least 15 credit hours of graduate work; prior written approval of faculty supervising work. May be taken for a max. of 6 hrs. of credit. Independent study by MPA student."
4458,"PADM 7850 Public Administration Internship (3)
Prereq.: at least 15 credit hours of graduate work completed and approval of the Director of the MPA program. Required of all pre-service MPA students. Work within a federal, state or local govern-ment unit, nonprofit or private concern interfacing with the public sector; regular meetings with faculty; submission of a research report to the faculty member; internship is designed to connect academic and professional training to actual work experience."
4459,"PADM 7852 MPA Practicum (1)
MPA Practicum is required of all MPA students. Enrollees will have an approved internship or other relevant position. Assignments will be designed around the work of the position and include letters of appointment from an employer."
4460,"PADM 7900 Public Administration Colloquium (3)
Required of all MPA students in final semester of program; research project required. Legal, ethical, economic, political and management principles used in assessing public administration topics; policy and administration issues."
4461,"PADM 7901 MPA Capstone (2)
The MPA Capstone course covers major components of public administration through guest lectures. The areas include budgeting, policy, management, organizational behavior, and economics. The course is taken at the conclusion of a student’s path to the MPA. A final exam will be comprehensive."
4462,"PADM 7902 Seminar in Public Policy (3)
Also offered as POLI 7902."
4463,"PADM 7904 Seminar in Policy Dilemmas and Decisions (3)
Exploring the difficulties of collective decision-making and the instruments and processes involved in reaching consensus; areas of focus include the structure of strong arguments, models and rationality, participation, and probabilistic reasoning using contemporaneous and historical case studies."
4464,"PADM 7910 Public Administration Theory and Practice (3)
Contents and boundaries of public administration as discipline; topics include historical development of public administration as a field of study; organizational theory; professional ethics; policy development; management techniques to enhance productivity and performance; leadership; diversity; and other relevant issues for public managers; case studies used intensively."
4465,"PADM 7911 Organizational Analysis for Public and Nonprofit Organizations (3)
Analyzing elements of effective organizational functioning in the public and nonprofit sectors, and the development of diagnostic skills to improve performance; incorporates organizational behavior and theory in the study of achieving effectiveness, efficiency and growth."
4466,"PADM 7912 Public Human Resource Management (3)
Explores human resource policy, including procedures and principles of personnel administration; traditional aspects of personnel administration including recruiting, job classification, evaluation, and compensation and dynamic topics include workforce diversity, drug abuse, whistle blowing, sexual discrimination, labor relations and other relevant issues."
4467,"PADM 7913 Advanced Topics in Human Resource Management in the Public and Non-Profit Sector (3)
Prereq.: PADM 7912 or permission of instructor. Advanced topics in human resource management including human resource management and organizational structure, workforce diversity, technology, legal and ethical issues, public policy issues, improving productivity and other special topics of interest. Topics will vary from semester to semester."
4468,"PADM 7914 Public Budgeting (3)
Introduction to public budgeting; study of budget techniques; importance of budgeting in policymaking; and understanding the budget process."
4469,"PADM 7916 State and Local Government Administration (3)
Examination and analysis of how state and local governments are structured and how they are managed; case studies will be used to illustrate state and local administration; current issues relating to financing, regulation, zoning, delivery systems of local."
4470,"PADM 7917 Program Evaluation (3)
Also offered as POLI 7917. Prereq.: PADM 5010 or equivalent course in statistics. Assessing whether programs designed to advance the public good are reaching their goals; examining program objectives, social context in which program operates, developing research designs to assess particular programs; use of statistical analysis in measuring program elements; and developing indicators to monitor public program."
4471,"PADM 7920 Ethics in the Public Service (3)
Examination and analysis of role that ethical behavior and moral reasoning play in the practice of public administration; overview of dominant schools of classical ethical thought, including works of Socrates, Plato, Aristotle, Kant, Rawls and Bentham, and leading ethical theories such as consequentialism, deontology, virtue ethics and ethical relativism; readings, case studies, and experiential exercises will be used to explore the role of ethics in public service."
4472,"PADM 7924 Public Financial Management (3)
Also offered as FIN 7710. Prereq.: PADM 7914 or permission of instructor. Financial management of public agencies, including sources of financing for different levels of governments, debt financing and capital budgeting, as well as other related topics."
4473,"PADM 7925 Seminar in Nonprofit Management (3)
Overview of principal management functions as applied to nonprofit organizations."
4474,"PADM 7970 Fundraising and Grantwriting (3)
Development of fundraising and grantwriting skills for nonprofit organizations. Class structure includes lectures, seminar discussions, experiences with professional fund raisers and hands-on applications."
4475,"PADM 7980 Crisis Management (3)
Explore complex challenges that crises pose, including noting causes of crises, short and long term effects of crisis, consequences of crises and disasters and public policy responses to crisis. Seminar will build on theoretical explanations and insights, real-life crisis management case studies and preparation of actionable alternatives to public authorities."
4476,"PBS 7002 Pathobiological Sciences Research Techniques (1-4)
May be taken for a max. of 6 sem. hrs. of credit. Specialized research techniques related to a specific discipline of pathobiological sciences."
4477,"PBS 7003 Special Topics in Pathobiological Sciences (1-4)
Prereq.: consent of instructor. May be taken for a max. of 8 hrs. of credit. Topics of current interest in pathobiological sciences."
4478,"PBS 7004 Current Literature in Pathobiological Sciences (1)
Pass/fail grading. May be taken for a maximum of 6 hrs. of credit. Review of the literature in areas of pathobiological sciences presented in a discussion format."
4479,"PBS 7007 Seminar (1)
Pass-fail grading. May be taken for a max. of 4 hrs. of credit. Research presentations by visiting scienctists. Presentations center around infectious disease research in the fields of bacteriology, virology, immunology, parasitology and pathology."
4480,"PBS 7310 Zoonotic Infectious and Parasitic Diseases (3)
Prereq.:
Epidemiology, ecology and control of major infectious and parasitic zoonoses."
4481,"PBS 7312 Concepts in Epidemiology (4)
Introduction to the basic concepts of epidemiology with emphasis on the appropriate use and interpretation of epidemiological methods."
4482,"PBS 7413 Techniques in Flow Cytometry (1)
2 hrs. lab. Instruction and laboratory practices in principles and applications of flow cytometry; topics include cell processing and staining with fluorescent probes as a measurement of immunophenotyping, DNA and functional assays as well as computer generated data analysis."
4483,"PBS 7415 Current Experimental Methods in Parasitology (1-4)
Prereq.: a course in parasitology or equivalent. May be taken for a max. of 4 sem. hrs. when animal groups vary. 2-8 hrs. lab. Specialized laboratory methods used to produce experimental infections, diagnose parasitism and recover and identify protozoan and helminth parasites of ruminants, horses, pigs and companion animals."
4484,"PBS 7417 Pathogenesis of Infectious and Parasitic Agents (1-4)
Prereq.: introductory course in immunology. Introduction to the mechanisms of pathogenesis, pathology and host immune interactions of viral, bacterial and parasitic disease agents."
4485,"PBS 7419 Population Dynamics and Ecology of Parasitic and Vector-Borne Diseases (3)
Prereq.: course in parasitology or equivalent. Population regulation and distribution of parasitic and vector-borne diseases of veterinary and medical significance; disease risk in populations and control strategies based on population models, transmission dynamics, climate, nutrition, immunity, geographic information systems and herd health programs."
4486,"PBS 7424 Diseases of Aquatic Animals (3)
Same as RNR 7424. Prereq.: consent of instructor. Basic microbiology and/or parasitology strongly recommended. 2 hrs. lecture; 2 hrs. lab."
4487,"PBS 7501 Veterinary Cellular Pathology (3)
Prereq.: DVM degree or equivalent and consent of instructor. Basic mechanisms of pathogenesis and morphogenesis of disease at the cellular level; encompasses ultrastructural to functional pathologic changes in cells and extracellular matrix."
4488,"PBS 7502 Advanced Systemic Veterinary Pathology (5)
Prereq.: DVM degree or equivalent and credit or concurrent enrollment in PBS 7516. Study of diseases by organ systems, using electron and light microscopy; patho-genesis of specific diseases."
4489,"PBS 7508 Histopathology Slide Conference (1)
Prereq.: DVM degree or equivalent and consent of instructor. May be taken for a max. of 4 hrs. of credit when topics vary. Histopathological aspects of diseases in various animal species; direct student participation in morphological description and literature review."
4490,"PBS 7509 Surgical Pathology (1-2)
Prereq.: DVM degree or equivalent and PBS 7516. May be taken for a max. of 6 sem. hrs. credit when topics vary. Gross and microscopic examination of surgery-derived specimens of diseased tissues from various animals; clinical case interpretation, histopathological description, diagnosis, prognosis and consultation techniques."
4491,"PBS 7514 Laboratory Animal Pathology (2)
Prereq.: DVM degree or equivalent and consent of instructor. Macroscopic, microscopic and pathogenetic study of the infectious, nutritional, degenerate and toxic diseases that affect the commonly used species of laboratory rodents, rabbits and primates."
4492,"PBS 7515 Veterinary Dermatopathology (2)
Prereq.: DVM degree or equivalent and PBS 7516. 1 hr. lecture; 2 hrs. lab. Histopathological evaluation of integumentary system, tissue response and diseases of various animal species of veterinary importance."
4493,"PBS 7516 Advanced Diagnostic Pathology of Animals (1-2)
Prereq.: DVM degree or equivalent. May be taken for a max. of 6 sem. hrs. of credit when topics vary. Necropsy of various animals submitted for postmortem examination: gross, light and electron microscopy; and immunohistochemistry; correlation and synthesis of clinical information, anatomical findings and other ancillary laboratory results, for an accurate determination of disease diagnosis and pathogenesis."
4494,"PBS 7525 Advanced Veterinary Clinical Pathology (1-2)
Prereq.: DVM degree or equivalent. May be taken for a max. of 6 sem. hrs. of credit when topics vary. Diagnosis and pathogenesis of hematological and clinical chemistry changes in blood from various animal species; understanding the applicable instrumentation and methodologies of assays and quality assurance; interpretation of cytological specimens (tissue and fluids) and correlation with clinical and histopathological findings."
4495,"PBS 7530 Laboratory Animal Science I (2)
Prereq.: DVM degree or equivalent and consent of instructor. Biology, husbandry, diseases, medical care, regulations and experimental uses of the commonly used laboratory animal species; courses need not be taken in sequence."
4496,"PBS 7531 Laboratory Animal Science II (2)
Prereq.: DVM degree or equivalent and consent of instructor. Biology, husbandry, diseases, medical care, regulations and experimental uses of the commonly used laboratory animal species; courses need not be taken in sequence."
4497,"PETE 1010 Introduction to Petroleum Engineering (2)
Prereq.: MATH 1021 or credit or registration in MATH 1022, MATH 1023, MATH 1550, MATH 1552, or MATH 2065.   Scientific bases of petroleum geology and chemistry, exploration, drilling, production, reservoir engineering and refining."
4498,"PETE 2031 Reservoir Rock Properties (3)
Prereq.: MATH 1552, GEOL 1001 and PHYS 2110. Physical properties of reservoir rock related to the production of oil and gas."
4499,"PETE 2032 Reservoir Fluid Properties (3)
Prereq.: credit or registration in PHYS 2112. Physical and chemical properties of petroleum reservoir fluids related to production of oil and gas."
4500,"PETE 2034 Rock and Fluid Properties Laboratory (1)
Prereq.: credit in PETE 2031 and/or PETE 2032 and registration in the other course. 3 hrs. lab."
4501,"PETE 2061 Statistics and Data Visualization for Petroleum Engineers (2)
Prereq.: MATH 1552. 1 hr. lecture; 2 hrs. lab. Introduction to data collection, visualization, and statistics for petroleum engineers; introduction to modern programming techniques and software used in these applications."
4502,"PETE 3025 Economic Aspects of Petroleum Production (3)
Prereq.: ECON 2030 and PETE 2061. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Mineral ownership and leasing in Louisiana; production decline curve analysis; profitability analysis; risk analysis; evaluation of petroleum properties."
4503,"PETE 3036 Well Logging (3)
Prereq.: grade of “C” or better in PETE 2031 and grade of “C” or better in PHYS 2113. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major or have senior status in Geology & Geophysics. Qualitative and quantitative formation evaluation by means of electric, acoustic and radioactive well logs."
4504,"PETE 3037 Petroleum Field Operations (1)
Prereq.: CE 2200 and PETE 3085. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. 3 hrs. lab. Field operations associated with production engineering; field equipment and operation; pneumatic and electronic safety systems; fluid flow measurements."
4505,"PETE 3050 Reservoir Dynamics (3)
Prereq.: PETE 2031, PETE 2032, MATH 2065, CE 2200, and credit or registration in ME 3333. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Fundamentals of reservoir flow; application to single-well performance; well testing, gas reservoir engineering; waterflooding fundamentals."
4506,"PETE 3053 Petroleum Engineering Aspects of Subsurface Geology (3)
Prereq.: PETE 2031 or senior status in geology. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Engineering aspects of petroleum geology; interpretation of subsurface data; reservoir mapping; determination of reservoir volume."
4507,"PETE 3061 Computational Methods and Data Analytics in Petroleum Engineering (3)
Prereq.: MATH 2065 and PETE 2061. Fundamentals of computational methods and data analytics with applications to modern petroleum engineering problems."
4508,"PETE 3085 Well Performance and Production (3)
Prereq.: Credit or registration in PETE 3050 and credit or registration in ME 3333. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Systems analysis applied to oil and gas wells; artificial lift design; fluid measurement; design of surface production equipment."
4509,"PETE 3990 Independent Research (1-2)
May be taken for a max. of 3 sem. hrs. of credit. Number of hours, outline of proposed work and name of faculty supervisor must be stated at time of registration. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Individual research or engineering studies with faculty supervision."
4510,"PETE 4045 Drilling Engineering (3)
Prereq.: CE 2200 and credit or registration in CE 3400. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Drilling process, including equipment and performance; well pressure control and buoyancy; rheology, circulation pressure and optimum hydraulics of drilling fluids; oil well casing design and cementing techniques."
4511,"PETE 4046 Well Design-Production (3)
Prereq.: PETE 4045 and CE 3400. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Analysis and design of well production systems; rod pumping, gas lift."
4512,"PETE 4047 Well Design-Completions (3)
Prereq.: PETE 4045 and CE 3400. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Analysis and design of well tubular and casing systems; analysis and design of open and cased hole completions."
4513,"PETE 4051 Reserve Estimation and Reservoir Management (3)
Prereq.: PETE 3025,PETE 3036, PETE 3053, and PETE 3061.  Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Quantitative study and behavior prediction of volumetric and water-drive reservoir systems by material balance."
4514,"PETE 4056 Numerical Simulation of Improved Recovery Processes (3)
Prereq.: MATH 2065, PETE 3050, PETE 3061 and PETE 4051. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. 2 hrs. lecture; 2 hrs. lab. Use of computer simulation to predict oil and gas reservoir performance and to design enhanced recovery processes."
4515,"PETE 4058 Reservoir Mechanics Laboratory (1)
Prereq.: PETE 3050 and credit or registration in PETE 4056. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. 3 hrs. lab. Simulation of reservoirs with physical models; fluid flow in porous media."
4516,"PETE 4059 Drilling Fluids Engineering Laboratory (1)
Prereq.: PETE 4045. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. 3 hrs. lab. Selecting, testing and designing of drilling and completion fluids and well cements."
4517,"PETE 4060 Prevention of Oil and Gas Well Blowouts (1)
Prereq.: CE 2200 and PETE 4045.  Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. 3 hrs. lab. Causes and detection of well kicks and the proper handling of these kicks to prevent uncontrolled flow (blowout) from the well; methods and techniques currently used in the oil and gas industry."
4518,"PETE 4083 Secondary Recovery of Petroleum (3)
Prereq.: PETE 3050 and PETE 4051.  Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Reservoir mechanics and application of immiscible fluids displacement methods to secondary recovery of oil."
4519,"PETE 4084 Fluid Flow and Heat Transfer in Wellbores (3)
Prereq.: MATH 2065, CE 2200, ME 3333 or consent of instructor. Multiphase flow in pipes and wells; flow pattern description and mechanistic modeling; wellbore heat transfer; case studies."
4520,"PETE 4085 Surface Handling of Produced Fluids (3)
Prereq.: PETE 2032 and PETE 2034. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Operating principles and design criteria for equipment used in field processing of oil and gas, e.g., lean oil gasoline plants, gas dehydration units, gas sweetening units, cryogenic gasoline plants, separators, gas transmission and compression facilities."
